Datum|Erster|Hoch|Tief|Schlusskurs|Stuecke|Volumen
2017-12-29|15,7977|15,8125|15,6591|15,7086|5.652.065|88.818.936
2017-12-28|15,8323|15,951|15,7234|15,7729|7.030.519|111.293.792
2017-12-27|16,0995|16,1786|15,8966|15,9016|7.141.349|114.246.280
2017-12-22|16,327|16,4161|16,144|16,144|8.779.343|142.610.528
2017-12-21|16,426|16,4507|16,1341|16,3468|12.151.080|197.840.736
2017-12-20|16,6833|16,7723|16,4309|16,4656|10.318.348|170.980.384
2017-12-19|16,8713|16,9208|16,6288|16,6288|12.606.003|210.688.640
2017-12-18|16,4705|16,9455|16,426|16,9208|20.416.974|341.424.992
2017-12-15|16,1291|16,4062|16,0153|16,3666|26.888.591|436.510.016
2017-12-14|16,2875|16,3914|16,1638|16,1935|12.693.665|206.516.432
2017-12-13|16,2776|16,421|16,1836|16,3468|9.924.861|161.917.072
2017-12-12|16,2578|16,3468|16,05|16,3468|9.706.049|157.737.632
2017-12-11|16,3666|16,3864|16,1341|16,1687|10.223.376|166.091.152
2017-12-08|15,9263|16,4013|15,9164|16,3171|24.846.316|404.420.736
2017-12-07|15,5849|15,7977|15,4958|15,7977|9.613.409|150.968.096
2017-12-06|15,6344|15,6591|15,4909|15,5453|11.952.668|186.051.920
2017-12-05|16,0005|16,0252|15,6641|15,7878|11.659.486|184.672.208
2017-12-04|15,9758|16,0252|15,8125|15,9708|10.440.166|166.011.659
2017-12-01|15,6789|15,9016|15,4909|15,6096|14.151.661|221.778.688
2017-11-30|15,8818|16,0252|15,6938|15,6938|14.426.246|228.133.264
2017-11-29|15,7828|15,9312|15,7185|15,9016|13.036.220|206.408.128
2017-11-28|15,5701|15,6443|15,3425|15,5354|11.815.768|182.718.160
2017-11-27|15,8323|15,9758|15,5453|15,5453|11.565.198|181.483.568
2017-11-24|15,8174|16,05|15,7927|15,8818|9.729.780|154.995.232
2017-11-23|15,7828|15,8966|15,6344|15,8026|10.072.597|158.980.768
2017-11-22|16,0747|16,139|15,862|15,862|11.078.667|176.913.648
2017-11-21|16,1489|16,2627|16,0648|16,0648|15.529.157|250.965.504
2017-11-20|15,862|16,2677|15,8422|16,1786|15.358.116|247.683.856
2017-11-17|16,0302|16,2132|15,8818|16,0549|17.772.260|284.715.072
2017-11-16|15,7135|16,05|15,6789|16,0055|21.235.484|337.723.424
2017-11-15|15,1644|15,6641|14,818|15,5948|31.528.667|481.341.888
2017-11-14|15,3771|15,5107|15,1792|15,3029|16.061.803|245.861.952
2017-11-13|15,3078|15,5057|15,10|15,2089|19.102.435|291.559.904
2017-11-10|14,8329|15,3672|14,8329|15,2979|26.329.393|399.249.920
2017-11-09|14,5855|14,9021|14,5657|14,8329|24.080.324|356.083.872
2017-11-08|14,3084|14,5855|14,1699|14,5855|19.466.354|280.569.024
2017-11-07|14,447|14,5608|14,3431|14,3777|14.668.099|211.878.944
2017-11-06|14,3134|14,3629|14,1056|14,3579|13.936.141|198.432.400
2017-11-03|14,4915|14,5805|14,2787|14,3579|18.632.808|268.288.944
2017-11-02|14,0512|14,4816|14,0264|14,4816|23.156.373|331.693.984
